tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0120669	movie	Fear and Loathing in Las Vegas	Fear and Loathing in Las Vegas	0.0	1998.0		118	Adventure,Comedy,Drama
tt0118884	movie	Contact	Contact	0.0	1997.0		150	Drama,Mystery,Sci-Fi
tt7349662	movie	BlacKkKlansman	BlacKkKlansman	0.0	2018.0		135	Biography,Comedy,Crime
tt12037194	movie	Furiosa: A Mad Max Saga	Furiosa: A Mad Max Saga	0.0	2024.0		148	Action,Adventure,Sci-Fi
tt0215750	movie	Enemy at the Gates	Enemy at the Gates	0.0	2001.0		131	Action,Drama,War
tt0221027	movie	Blow	Blow	0.0	2001.0		124	Biography,Crime,Drama
tt0396171	movie	Perfume: The Story of a Murderer	Perfume: The Story of a Murderer	0.0	2006.0		147	Crime,Drama,Fantasy
tt1649419	movie	The Impossible	Lo imposible	0.0	2012.0		114	Drama,History,Thriller
tt5580036	movie	I, Tonya	I, Tonya	0.0	2017.0		119	Biography,Comedy,Drama
tt5083738	movie	The Favourite	The Favourite	0.0	2018.0		119	Biography,Comedy,Drama
tt0408306	movie	Munich	Munich	0.0	2005.0		164	Drama,History,Thriller
tt0311113	movie	Master and Commander: The Far Side of the World	Master and Commander: The Far Side of the World	0.0	2003.0		138	Action,Adventure,Drama
tt0117665	movie	Sleepers	Sleepers	0.0	1996.0		147	Crime,Drama,Thriller
tt0373469	movie	Kiss Kiss Bang Bang	Kiss Kiss Bang Bang	0.0	2005.0		103	Comedy,Crime,Mystery
tt0420223	movie	Stranger Than Fiction	Stranger Than Fiction	0.0	2006.0		113	Comedy,Drama,Fantasy
tt0195685	movie	Erin Brockovich	Erin Brockovich	0.0	2000.0		131	Biography,Drama
tt0097958	movie	National Lampoon's Christmas Vacation	National Lampoon's Christmas Vacation	0.0	1989.0		97	Comedy
tt0427944	movie	Thank You for Smoking	Thank You for Smoking	0.0	2005.0		92	Comedy,Drama
tt9620292	movie	Promising Young Woman	Promising Young Woman	0.0	2020.0		113	Crime,Drama,Mystery
tt0181865	movie	Traffic	Traffic	0.0	2000.0		147	Crime,Drama,Thriller
tt6499752	movie	Upgrade	Upgrade	0.0	2018.0		100	Action,Sci-Fi,Thriller
tt0099810	movie	The Hunt for Red October	The Hunt for Red October	0.0	1990.0		135	Action,Adventure,Thriller
tt22022452	movie	Inside Out 2	Inside Out 2	0.0	2024.0		96	Adventure,Animation,Comedy
tt0109506	movie	The Crow	The Crow	0.0	1994.0		102	Action,Crime,Drama
tt0375063	movie	Sideways	Sideways	0.0	2004.0		127	Comedy,Drama,Romance
tt28607951	movie	Anora	Anora	0.0	2024.0		139	Comedy,Drama,Romance
tt0096754	movie	The Abyss	The Abyss	0.0	1989.0		140	Adventure,Drama,Mystery
tt1465522	movie	Tucker and Dale vs Evil	Tucker and Dale vs Evil	0.0	2010.0		89	Comedy,Horror
tt0266308	movie	Battle Royale	Batoru rowaiaru	0.0	2000.0		114	Adventure,Drama,Thriller
tt0054698	movie	Breakfast at Tiffany's	Breakfast at Tiffany's	0.0	1961.0		115	Comedy,Drama,Romance
tt0443680	movie	The Assassination of Jesse James by the Coward Robert Ford	The Assassination of Jesse James by the Coward Robert Ford	0.0	2007.0		160	Biography,Crime,Drama
tt7405458	movie	A Man Called Otto	A Man Called Otto	0.0	2022.0		126	Comedy,Drama
tt0462322	movie	Grindhouse	Grindhouse	0.0	2007.0		191	Horror,Thriller
tt0110322	movie	Legends of the Fall	Legends of the Fall	0.0	1994.0		133	Drama,Romance,War
tt4873118	movie	The Covenant	The Covenant	0.0	2023.0		123	Action,Drama,Thriller
tt0117913	movie	A Time to Kill	A Time to Kill	0.0	1996.0		149	Crime,Drama,Thriller
tt1013753	movie	Milk	Milk	0.0	2008.0		128	Biography,Drama,History
tt0086465	movie	Trading Places	Trading Places	0.0	1983.0		116	Comedy
tt2140373	movie	Saving Mr. Banks	Saving Mr. Banks	0.0	2013.0		125	Biography,Comedy,Drama
tt0032910	movie	Pinocchio	Pinocchio	0.0	1940.0		88	Adventure,Animation,Comedy
tt0095159	movie	A Fish Called Wanda	A Fish Called Wanda	0.0	1988.0		108	Comedy,Crime
tt0079116	movie	Escape from Alcatraz	Escape from Alcatraz	0.0	1979.0		112	Biography,Crime,Drama
