tconst	averageRating	numVotes
tt0000697	4.9	34
tt0000698	6.1	29
tt0000699	6.4	28
tt0000700	4.9	88
tt0000704	5.5	66
tt0000706	5.5	33
tt0000707	4.7	29
tt0000708	4.3	50
tt0000709	5.6	85
tt0000711	3.9	28
tt0000712	5.2	23
tt0000713	5.6	27
tt0000715	4.8	15
tt0000717	6.1	27
tt0000720	6.8	22
tt0000722	4.7	14
tt0000724	5.2	47
tt0000725	4.0	26
tt0000727	5.9	23
tt0000728	5.8	151
tt0000730	5.8	82
tt0000731	5.4	27
tt0000733	6.1	34
tt0000734	4.0	18
tt0000736	3.6	18
tt0000737	4.7	40
tt0000738	7.9	23
tt0000739	6.2	19
tt0000740	5.8	22
tt0000741	5.5	33
tt0000743	6.7	18
tt0000746	7.8	20
tt0000747	5.8	36
tt0000748	6.1	31
tt0000749	5.8	923
tt0000750	5.2	18
tt0000752	5.1	161
tt0000754	6.8	81
tt0000755	5.7	248
tt0000756	5.2	159
tt0000758	5.8	33
tt0000759	6.8	15
tt0000760	4.8	11
tt0000762	5.6	54
tt0000764	5.5	158
tt0000765	5.6	18
tt0000767	6.8	26
tt0000768	5.8	13
tt0000769	5.2	192
tt0000770	5.4	194
tt0000771	6.1	24
tt0000772	6.4	21
tt0000775	7.5	13
tt0000776	5.6	159
tt0000778	7.0	17
tt0000779	6.5	21
tt0000781	6.2	22
tt0000782	7.9	27
tt0000783	4.0	15
tt0000784	4.2	33
tt0000785	5.3	82
tt0000787	5.6	24
tt0000789	5.1	87
tt0000790	6.1	484
tt0000792	4.8	71
tt0000793	4.1	23
tt0000797	5.3	200
tt0000798	4.4	19
tt0000800	5.0	128
tt0000801	5.4	76
tt0000803	6.1	17
tt0000807	5.1	64
tt0000809	6.3	67
tt0000815	4.7	67
tt0000816	4.6	145
tt0000817	4.3	24
tt0000819	5.6	69
tt0000821	4.6	144
tt0000823	4.9	56
tt0000825	4.8	58
tt0000826	4.8	56
tt0000827	5.1	110
tt0000828	5.3	125
tt0000829	4.8	61
tt0000831	5.3	159
tt0000832	6.6	2894
tt0000833	6.4	839
tt0000835	4.7	181
tt0000836	4.6	61
tt0000837	5.5	46
tt0000838	2.7	14
tt0000840	5.6	391
tt0000841	5.2	94
tt0000842	4.3	15
tt0000843	5.6	43
tt0000844	6.0	33
tt0000845	4.9	45
tt0000846	2.8	14
tt0000847	5.6	18
tt0000848	5.5	25
tt0000851	5.6	47
tt0000852	5.6	295
tt0000853	6.1	42
tt0000854	5.9	609
tt0000855	5.8	51
tt0000857	5.6	40
tt0000858	5.6	39
tt0000860	4.6	91
tt0000861	5.5	60
tt0000862	4.1	20
tt0000864	6.2	61
tt0000866	5.7	10
tt0000870	5.8	60
tt0000871	5.6	138
tt0000873	5.8	12
tt0000874	5.5	56
tt0000875	4.8	38
tt0000877	4.7	122
tt0000878	5.0	197
tt0000880	5.6	97
tt0000882	5.6	250
tt0000883	6.8	12
tt0000884	3.5	13
tt0000886	4.4	42
tt0000887	5.0	56
tt0000890	7.4	33
tt0000891	5.7	72
tt0000892	5.6	112
